Key,Judge,Question,Index,User,UserType,Response,ResponseScore
Claude-Sonnet-4.6_structure_015_3,MM,MM1,0,Claude-Sonnet-4.6,llm,No,0
Claude-Sonnet-4.6_structure_015_3,MM,MM1,0,Claude-Sonnet-4.6,llm,No,0
Claude-Sonnet-4.6_structure_015_3,MM,MM1,0,Claude-Sonnet-4.6,llm,No,0
Claude-Sonnet-4.6_structure_015_3,MM,MM2,1,Claude-Sonnet-4.6,llm,Yes,1
Claude-Sonnet-4.6_structure_015_3,MM,MM2,1,Claude-Sonnet-4.6,llm,Yes,1
Claude-Sonnet-4.6_structure_015_3,MM,MM2,1,Claude-Sonnet-4.6,llm,No,0
Claude-Sonnet-4.6_structure_015_3,MM,MM3,2,Claude-Sonnet-4.6,llm,Yes,1
Claude-Sonnet-4.6_structure_015_3,MM,MM3,2,Claude-Sonnet-4.6,llm,Yes,1
Claude-Sonnet-4.6_structure_015_3,MM,MM3,2,Claude-Sonnet-4.6,llm,Yes,1
Claude-Sonnet-4.6_structure_015_3,MM,MM4,3,Claude-Sonnet-4.6,llm,Yes,1
Claude-Sonnet-4.6_structure_015_3,MM,MM4,3,Claude-Sonnet-4.6,llm,Yes,1
Claude-Sonnet-4.6_structure_015_3,MM,MM4,3,Claude-Sonnet-4.6,llm,Yes,1
Claude-Sonnet-4.6_structure_015_3,MM,MM5,4,Claude-Sonnet-4.6,llm,Yes,1
Claude-Sonnet-4.6_structure_015_3,MM,MM5,4,Claude-Sonnet-4.6,llm,Yes,1
Claude-Sonnet-4.6_structure_015_3,MM,MM5,4,Claude-Sonnet-4.6,llm,Yes,1
Claude-Sonnet-4.6_structure_015_3,MM,MM6,5,Claude-Sonnet-4.6,llm,Yes,1
Claude-Sonnet-4.6_structure_015_3,MM,MM6,5,Claude-Sonnet-4.6,llm,Yes,1
Claude-Sonnet-4.6_structure_015_3,MM,MM6,5,Claude-Sonnet-4.6,llm,Yes,1
Claude-Sonnet-4.6_structure_015_3,MM,MM7,6,Claude-Sonnet-4.6,llm,No,0
Claude-Sonnet-4.6_structure_015_3,MM,MM7,6,Claude-Sonnet-4.6,llm,No,0
Claude-Sonnet-4.6_structure_015_3,MM,MM7,6,Claude-Sonnet-4.6,llm,No,0
Claude-Sonnet-4.6_structure_015_3,MM,MM8,7,Claude-Sonnet-4.6,llm,Yes,1
Claude-Sonnet-4.6_structure_015_3,MM,MM8,7,Claude-Sonnet-4.6,llm,Yes,1
Claude-Sonnet-4.6_structure_015_3,MM,MM8,7,Claude-Sonnet-4.6,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM1,16,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM1,16,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM1,16,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM2,17,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM2,17,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM2,17,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM3,18,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM3,18,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM3,18,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM4,19,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM4,19,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM4,19,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM5,20,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM5,20,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM5,20,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM6,21,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM6,21,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM6,21,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM7,22,Gemini-2.5-Flash,llm,No,0
Gemini-2.5-Flash_structure_001_8,MM,MM7,22,Gemini-2.5-Flash,llm,No,0
Gemini-2.5-Flash_structure_001_8,MM,MM7,22,Gemini-2.5-Flash,llm,No,0
Gemini-2.5-Flash_structure_001_8,MM,MM8,23,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM8,23,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_001_8,MM,MM8,23,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_011_2,MM,MM1,32,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_011_2,MM,MM1,32,Gemini-2.5-Flash,llm,No,0
Gemini-2.5-Flash_structure_011_2,MM,MM1,32,Gemini-2.5-Flash,llm,Yes,1
Gemini-2.5-Flash_structure_011_2,MM,MM2,33,Gemini-2.5-Flash,llm,Yes,1
